Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Indonesia,IDN,58.59753114,45.58150099,38.97047862,37.75342034,38.22547215,38.23365734,38.10645359,37.45426835,36.8793481,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,"Iran, Islamic Rep.",IRN,1.238359584,0.438389902,0.781922794,0.897453786,0.916869396,0.934277506,0.995531841,0.939119651,0.913005057,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Iraq,IRQ,1.596326357,0.363571952,1.237633917,1.709637055,1.074336558,1.26387438,1.368784009,0.91210465,0.798830769,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Ireland,IRL,2.279781342,2.034167233,5.246756479,5.273538143,6.709364607,6.618548611,7.404766881,8.520669791,9.081399013,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Isle of Man,IMN,..,..,4.25031779,4.047555187,4.386401977,6.427508213,3.737466021,3.812707071,4.20758973,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Israel,ISR,5.800245158,5.970640521,8.417051651,8.503355,9.021751467,2.686302925,3.319186866,3.680132349,3.707766913,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Italy,ITA,3.781463481,5.119514798,12.53975273,12.794093,11.90494027,14.39164897,16.32088504,17.09035884,16.51685058,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Jamaica,JAM,7.633355058,11.90213459,14.04097406,13.71996666,13.88479775,17.03903942,15.75997884,16.11678991,16.77190746,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Japan,JPN,4.550664024,3.916108019,4.035613662,4.585529562,4.693602259,4.533085434,4.91215213,5.625025887,6.297357081,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Jordan,JOR,2.765358064,2.084113358,2.783594185,2.973125599,3.027530759,2.939058732,3.150749899,3.130551865,3.229170042,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Kazakhstan,KAZ,1.407717208,2.505037491,1.305589862,1.382363385,1.381919538,1.32774976,1.165225302,1.305655116,1.558442912,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Kenya,KEN,77.5040046,79.03537161,78.14866866,76.27312323,77.0836394,78.49761951,77.13674631,75.5181686,72.66275251,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Kiribati,KIR,5.220941832,4.847791592,3.077905542,3.464604798,3.57454933,3.275567476,3.032065601,3.465024455,4.253998693,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,"Korea, Dem. People’s Rep.",PRK,7.189592068,8.717750047,12.30734984,13.4749489,18.08156736,17.69173903,23.80729426,21.03318699,23.12326149,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,"Korea, Rep.",KOR,1.631946867,0.700450814,1.206796036,1.314953503,1.347612055,1.614257513,1.922273654,2.838191508,2.707702804,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Kosovo,XKX,..,28.29928277,20.92019658,20.92146167,19.7192779,20.86210645,20.89663859,21.4611559,20.45090897,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Kuwait,KWT,0.165242348,0,0,0,0,0,0,0,0,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Kyrgyz Republic,KGZ,7.927699743,35.16661557,24.73126686,25.59478777,25.95073961,22.45447526,24.58105273,26.60830703,23.3068222,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Lao PDR,LAO,88.44509701,85.47205755,66.82274145,71.50857939,66.2695521,63.34665782,60.68153174,60.47414119,59.31586075,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Latvia,LVA,17.56969052,35.82038981,38.39414096,33.06400041,35.5339218,40.36562479,39.60303803,40.2360616,38.09801717,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Lebanon,LBN,11.34168091,4.908444347,4.276906915,5.203632044,5.17973464,4.944418139,5.717306905,3.233519146,3.64671967,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Lesotho,LSO,52.02797925,56.69817615,53.98140827,53.44923217,53.13546633,52.41275121,52.29837891,51.38889849,52.13920609,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Liberia,LBR,88.81723914,90.82612478,91.51302451,89.2054669,87.36797439,85.17993645,86.98962649,83.93553433,83.84704334,..,..,..
Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Libya,LBY,3.129308451,2.042162689,1.719515088,1.568330806,2.230720912,1.912860304,1.71780327,1.753929078,1.966554457,..,..,..
